Date,Industry,ret
1929-04-01,Other,0.44
1929-04-01,Enrgy,0.74
1929-04-01,Utils,5.13
1929-05-01,Utils,4.8
1929-05-01,HiTec,0.33
1929-05-01,Durbl,-15.05
1929-05-01,Shops,-8.65
1929-05-01,NoDur,-3.98
1929-05-01,Manuf,-9.79
1929-05-01,Telcm,-8.77
1929-05-01,Hlth,-7.84
1929-05-01,Other,0.03
1929-05-01,Enrgy,-5.57
1929-06-01,Utils,23.47
1929-06-01,NoDur,5.32
1929-06-01,Telcm,13.7
1929-06-01,Hlth,4.52
1929-06-01,Durbl,7.01
1929-06-01,Enrgy,1.14
1929-06-01,Shops,9.47
1929-06-01,Manuf,13.28
1929-06-01,HiTec,17.18
1929-06-01,Other,5.73
1929-07-01,HiTec,9.24
1929-07-01,NoDur,3.23
1929-07-01,Manuf,4.05
1929-07-01,Utils,9.14
1929-07-01,Telcm,13.68
1929-07-01,Shops,0.96
1929-07-01,Durbl,-2.95
1929-07-01,Enrgy,0.16
1929-07-01,Hlth,2.59
1929-07-01,Other,6.61
1929-08-01,Hlth,3.09
1929-08-01,Enrgy,11.36
1929-08-01,HiTec,12.54
1929-08-01,Manuf,9.34
1929-08-01,Utils,9.05
1929-08-01,Telcm,10.98
1929-08-01,NoDur,4.77
1929-08-01,Shops,7.8
1929-08-01,Other,7.82
1929-08-01,Durbl,3.0
1929-09-01,Durbl,-8.35
1929-09-01,HiTec,-7.56
1929-09-01,Enrgy,-2.95
1929-09-01,Manuf,-7.17
1929-09-01,Hlth,-7.02
1929-09-01,Other,-6.44
1929-09-01,Shops,-5.38
1929-09-01,Utils,1.32
1929-09-01,Telcm,-1.37
1929-09-01,NoDur,-3.6
1929-10-01,Utils,-30.04
1929-10-01,Shops,-24.0
1929-10-01,Durbl,-28.94
1929-10-01,Manuf,-19.61
1929-10-01,Enrgy,-10.07
1929-10-01,HiTec,-27.73
1929-10-01,Telcm,-15.39
1929-10-01,NoDur,-10.64
1929-10-01,Other,-11.88
1929-10-01,Hlth,-18.02
1929-11-01,Utils,-14.64
1929-11-01,Telcm,-9.47
1929-11-01,HiTec,-19.24
1929-11-01,Enrgy,-6.42
1929-11-01,Manuf,-14.13
1929-11-01,Other,-9.58
1929-11-01,Shops,-12.59
1929-11-01,Durbl,-17.31
1929-11-01,NoDur,-8.45
1929-11-01,Hlth,-7.9
1929-12-01,HiTec,10.78
1929-12-01,Enrgy,-1.18
1929-12-01,Shops,-5.98
1929-12-01,Utils,7.94
1929-12-01,Durbl,4.9
1929-12-01,Hlth,1.11
1929-12-01,Other,-0.49
1929-12-01,Telcm,1.01
1929-12-01,NoDur,0.7
1929-12-01,Manuf,1.5
1930-01-01,Hlth,2.55
1930-01-01,NoDur,5.7
1930-01-01,Other,4.76
1930-01-01,Utils,7.25
1930-01-01,Durbl,5.95
1930-01-01,Telcm,1.2
1930-01-01,Manuf,6.9
1930-01-01,Shops,4.73
1930-01-01,HiTec,10.61
1930-01-01,Enrgy,-0.76
1930-02-01,Telcm,7.06
1930-02-01,Shops,-5.13
1930-02-01,Hlth,3.15
1930-02-01,Other,3.29
1930-02-01,HiTec,7.75
1930-02-01,NoDur,2.15
1930-02-01,Manuf,2.14
1930-02-01,Utils,8.57
1930-02-01,Enrgy,-4.49
1930-02-01,Durbl,2.44
1930-03-01,NoDur,2.12
1930-03-01,Utils,9.72
1930-03-01,Durbl,11.37
1930-03-01,Telcm,8.79
1930-03-01,Enrgy,17.94
1930-03-01,Manuf,6.89
1930-03-01,Hlth,5.99
1930-03-01,Other,4.79
1930-03-01,HiTec,8.12
1930-03-01,Shops,-2.44
1930-04-01,NoDur,0.55
1930-04-01,Enrgy,6.55
1930-04-01,HiTec,1.97
1930-04-01,Shops,2.6
1930-04-01,Durbl,-7.81
1930-04-01,Manuf,-7.42
1930-04-01,Hlth,-1.27
1930-04-01,Other,-6.55
1930-04-01,Utils,3.34
1930-04-01,Telcm,-4.52
1930-05-01,Hlth,-1.49
1930-05-01,Utils,-1.33
1930-05-01,Durbl,4.12
1930-05-01,Telcm,0.4
1930-05-01,HiTec,-4.4
1930-05-01,Manuf,-1.78
1930-05-01,Other,-0.93
1930-05-01,NoDur,1.36
1930-05-01,Shops,-0.16
1930-05-01,Enrgy,-3.73
1930-06-01,NoDur,-11.04
1930-06-01,Manuf,-16.46
1930-06-01,Utils,-19.06
1930-06-01,Other,-11.82
1930-06-01,Enrgy,-15.47
1930-06-01,Durbl,-22.27
1930-06-01,Shops,-16.15
1930-06-01,Telcm,-8.34
1930-06-01,Hlth,-13.34
1930-06-01,HiTec,-19.74
1930-07-01,Hlth,6.52
1930-07-01,Telcm,1.27
1930-07-01,Manuf,4.75
1930-07-01,HiTec,4.07
1930-07-01,Shops,2.7
1930-07-01,Other,3.46
1930-07-01,NoDur,3.14
1930-07-01,Enrgy,5.18
1930-07-01,Durbl,12.1
1930-07-01,Utils,4.06
1930-08-01,Hlth,7.71
1930-08-01,HiTec,2.21
1930-08-01,Utils,1.18
1930-08-01,NoDur,1.98
1930-08-01,Manuf,-0.06
1930-08-01,Durbl,-1.89
1930-08-01,Telcm,1.74
1930-08-01,Enrgy,-3.2
1930-08-01,Shops,4.96
1930-08-01,Other,-0.36
1930-09-01,NoDur,-8.96
1930-09-01,Telcm,-5.27
1930-09-01,Manuf,-13.7
1930-09-01,Other,-10.56
1930-09-01,Durbl,-16.73
1930-09-01,Utils,-11.92
1930-09-01,HiTec,-18.24
1930-09-01,Enrgy,-15.46
1930-09-01,Hlth,-8.7
1930-09-01,Shops,-10.91
1930-10-01,NoDur,-4.85
1930-10-01,Utils,-8.28
1930-10-01,Enrgy,-8.37
1930-10-01,Manuf,-9.91
1930-10-01,Hlth,-4.37
1930-10-01,HiTec,-17.35
1930-10-01,Telcm,-4.12
1930-10-01,Other,-8.43
1930-10-01,Durbl,-11.64
1930-10-01,Shops,-8.61
1930-11-01,Durbl,5.37
1930-11-01,Utils,-8.74
1930-11-01,HiTec,-3.26
1930-11-01,Manuf,-0.42
1930-11-01,Enrgy,-3.72
1930-11-01,Hlth,-3.23
1930-11-01,Telcm,-3.27
1930-11-01,NoDur,0.18
1930-11-01,Shops,2.74
1930-11-01,Other,-5.17
1930-12-01,Manuf,-8.21
1930-12-01,Enrgy,-12.32
1930-12-01,Durbl,-1.26
1930-12-01,Other,-8.81
1930-12-01,Shops,-13.44
1930-12-01,Telcm,-3.8
1930-12-01,Hlth,-6.79
1930-12-01,HiTec,-10.76
1930-12-01,Utils,-3.69
1930-12-01,NoDur,-4.59
1931-01-01,Manuf,3.47
1931-01-01,Other,11.83
1931-01-01,Telcm,4.79
1931-01-01,HiTec,5.24
1931-01-01,Hlth,8.23
1931-01-01,Durbl,8.02
1931-01-01,NoDur,5.4
1931-01-01,Enrgy,5.31
1931-01-01,Shops,7.19
1931-01-01,Utils,5.53
1931-02-01,HiTec,22.38
1931-02-01,Manuf,12.85
1931-02-01,Telcm,5.95
1931-02-01,NoDur,6.81
1931-02-01,Other,5.52
1931-02-01,Hlth,7.81
1931-02-01,Durbl,17.37
1931-02-01,Enrgy,5.77
1931-02-01,Shops,14.79
1931-02-01,Utils,15.27
1931-03-01,Utils,-2.94
1931-03-01,Enrgy,-14.26
1931-03-01,NoDur,-1.69
1931-03-01,Hlth,1.8
1931-03-01,Shops,-3.27
1931-03-01,Manuf,-6.77
1931-03-01,HiTec,-7.76
1931-03-01,Durbl,-3.81
1931-03-01,Telcm,-3.58
1931-03-01,Other,-9.41
1931-04-01,Enrgy,-13.45
1931-04-01,HiTec,-13.04
1931-04-01,Other,-9.88
1931-04-01,Manuf,-14.15
1931-04-01,Shops,-4.84
1931-04-01,Durbl,-7.87
1931-04-01,Hlth,-3.62
1931-04-01,Utils,-9.04
1931-04-01,NoDur,-5.29
1931-04-01,Telcm,-4.25
1931-05-01,Durbl,-16.08
1931-05-01,Hlth,-10.26
1931-05-01,Utils,-11.15
1931-05-01,Other,-17.44
1931-05-01,HiTec,-12.92
1931-05-01,NoDur,-11.01
1931-05-01,Shops,-3.27
1931-05-01,Manuf,-16.42
1931-05-01,Telcm,-8.94
1931-05-01,Enrgy,-12.54
1931-06-01,Telcm,10.21
1931-06-01,Other,16.34
1931-06-01,HiTec,18.69
1931-06-01,Hlth,9.69
1931-06-01,Manuf,17.38
1931-06-01,NoDur,10.73
1931-06-01,Enrgy,17.57
1931-06-01,Utils,11.0
