name,country,gender,birth_year
Ioan James,United Kingdom,male,1928
Claude Berge,France,male,1926
Carole Lacampagne,,female,
Charles Sanders Peirce,United States of America,male,1839
Themistoclea,,female,-600
Roy C. Geary,United States of America,male,1896
Yang Le,"""Peoples Republic of China""",male,1939
Donald Samuel Ornstein,United States of America,male,1934
Sydney Chapman (mathematician),United Kingdom,male,1888
Boris Weisfeiler,"United States of America, Soviet Union",male,1942
Moritz Cantor,Germany,male,1829
John Hammersley,United Kingdom,male,1920
W. W. Rouse Ball,United Kingdom,male,1850
Edgar Frisby,United States of America,male,1837
Oscar Lanford,United States of America,male,1940
Vladimir Mazya,Sweden,male,1937
Eugenio Oñate Ibañez de Navarra,Spain,male,1953
Alemdar Hasanoğlu,,male,1954
Achyuta Pisharati,India,male,1550
Mihir Baran Banerjee,India,male,1943
Saunders Mac Lane,United States of America,male,1909
Victor Lidskii,Russia,male,1924
Paul Harzer,Germany,male,1857
Peter Turchin,United States of America,male,1957
Sijue Wu,United States of America,female,1964
Patrick Murdoch,,male,
Emmanuel Grenier,France,male,1970
Edward Ott,United States of America,male,1941
Beppo Levi,Italy,male,1875
Walter Francis Willcox,United States of America,male,1861
Hernando Burgos-Soto,,male,
Sol Garfunkel,United States of America,male,1943
Li Ye (mathematician),China,male,1192
Oleg Besov,"Soviet Union, Russia",male,1933
Derrick Niederman,United States of America,male,
Albrecht Pfister (mathematician),Germany,male,1934
Melvyn B. Nathanson,United States of America,male,1944
Jane Cronin Scanlon,United States of America,female,1922
Hippias,,male,-443
Philip Batchelor,,male,1967
Gottfried Wilhelm Leibniz,,male,1646
Selim Peabody,United States of America,male,1829
Nae Ionescu,Romania,male,1890
Rachel Riley,United Kingdom,female,1986
Andrzej Schinzel,Poland,male,1937
Jean Frédéric Frenet,France,male,1816
Yvon Villarceau,France,male,1813
James Wood (mathematician),,male,1760
Vlastimil Pták,,male,1925
Nicolai Reshetikhin,Russia,male,1958
Joseph-Émile Barbier,France,male,1839
László Lempert,United States of America,male,1952
Viktor Bunyakovsky,Russian Empire,male,1804
Corrado de Concini,Italy,male,1949
Gustave Malécot,France,male,1911
Alvany Rocha,,female,
Leopold Kronecker,Germany,male,1823
William Y.C. Chen,,male,
Tony Greenfield,United Kingdom,male,1931
Robert Arnott Wilson,United Kingdom,male,1958
Miguel Ángel Fernández Sanjuán,,male,
Peter Lax,Hungary,male,1926
Abraham Robinson,United States of America,male,1918
Iain M. Johnstone,Australia,male,1956
Theodorus Moretus,Southern Netherlands,male,1602
Thomas Callister Hales,United States of America,male,1958
Philippe Kahn,France,male,1952
George Bergman,United States of America,male,1943
Aṣ-Ṣaidanānī,,male,
Bram van Leer,,male,
Vera Kublanovskaya,"Soviet Union, Russia",female,1920
Marcia P. Sward,United States of America,female,1939
Daniel Pedoe,United Kingdom,male,1910
Yuri Petunin,"Soviet Union, Ukraine",male,1937
Okan Ersoy,United States of America,male,
