name,country,gender,birth_year
Gelenbevi Ismail Efendi,,male,
Hartmut Jürgens,,male,1955
Christoph Zenger,Germany,male,1940
George Barker Jeffery,,male,1891
Timycha,,female,300
Thomas Kessner,,male,
Alexandre Kirillov,Russia,male,1936
Harold Rosenberg (mathematician),United States of America,male,1938
Andrey Korotayev,"Soviet Union, Russia",male,1961
Hugh Lowell Montgomery,United States of America,male,1944
Ari Laptev,Sweden,male,1950
Aleksandr Logunov (mathematician),,male,
Théodore Reinach,France,male,1860
Henri Padé,France,male,1863
Samuel Earnshaw,United Kingdom,male,1805
Otto Dersch,Germany,male,
Reuven Rubinstein,Israel,male,1938
Anders Johan Lexell,"Sweden, Russian Empire",male,1740
Christopher Deninger,Germany,male,1958
James Thomson (mathematician),United Kingdom of Great Britain and Ireland,male,1786
Karl Seebach,"German Empire, Weimar Republic, Nazi Germany, Germany",male,1912
Howard Lincoln Hodgkins,United States of America,male,1862
Theaetetus (mathematician),Classical Athens,male,-410s
Simon Antoine Jean LHuilier,"Switzerland, Poland",male,1750
Vincenzo Viviani,,male,1622
Frank W. J. Olver,United States of America,male,1924
Francis Ysidro Edgeworth,"United Kingdom, Ireland",male,1845
Fredrik Lange-Nielsen,Norway,male,1891
Guy Hirsch,Belgium,male,1915
Nasir al-Din al-Tusi,Nizari Ismaili state,male,1201
Ben Andrews (mathematician),,male,
Kohji Matsumoto,,male,
Ethel Raybould,,female,1899
Habash al-Hasib al-Marwazi,Abbasid Caliphate,male,770
János Pintz,Hungary,male,1950
Robert Lawson Vaught,United States of America,male,1926
Deborah Hughes Hallett,,female,
Mohamed Amine Khamsi,United States of America,male,1959
K. S. Amur,,male,1931
Stanisław Radziszowski,,male,1953
Muneer Ahmad Rashid,Nigeria,male,1934
Stephen Wolfram,United Kingdom,male,1959
Hans Bruun Nielsen,,male,
Herbert Wilf,United States of America,male,1931
Jonathan Lazare Alperin,United States of America,male,1937
William Fulton (mathematician),United States of America,male,1939
William Philip Hiern,United Kingdom,male,1839
Victor Zalgaller,"Soviet Union, Israel",male,1920
Hermann Haken,Germany,male,1927
Walter Brown (mathematician),,male,1886
Johann III Bernoulli,Switzerland,male,1744
Max Deuring,Germany,male,1907
Gloria Olive,New Zealand,,1923
Peter Stoica,Romania,male,1949
Thomas Kirkman,United Kingdom,male,1806
A. V. Balakrishnan,United States of America,male,1922
André Sainte-Laguë,France,male,1882
David J. Thomson,Canada,male,
Jeremiah Day,,male,1773
Alexander Witting,Germany,male,1861
Susan Miller Rambo,United States of America,female,1883
R. Catesby Taliaferro,United States of America,male,1907
Joseph Raphson,United Kingdom,male,1648
Miloš Zahradník,Czech Republic,male,
Dyusembaev Anuar,,,
Louis Michel (physicist),France,male,1923
Siemion Fajtlowicz,,male,
Zoé Chatzidakis,,female,
François Loeser,France,male,1958
Niccolò Guicciardini,Italy,male,1957
Paul Seymour (mathematician),United Kingdom,male,1950
Anatoli Prudnikov,Russia,male,1927
Graham Sutton,United Kingdom,male,1903
Ranald Roderick Macdonald,,male,1945
Washek Pfeffer,United States of America,male,1936
Donald John Lewis,United States of America,male,1926
Allan Borodin,Canada,male,1941
Huzihiro Araki,Japan,male,1932
Michel Van den Bergh,Belgium,male,1960
Federigo Enriques,Italy,male,1871
Enoch Beery Seitz,United States of America,male,1846
Valeria Simoncini,,female,
Jacob Levitzki,Israel,male,1904
Sharadchandra Shankar Shrikhande,,male,1917
Floyd Williams,United States of America,male,1939
Petrus Ryff,,male,1552
Thomas Bond Sprague,,male,1830
William Burnside,United Kingdom,male,1852
Henk van der Vorst,Kingdom of the Netherlands,male,1944
Hans Weinberger,United States of America,male,1928
Francesco Brioschi,Kingdom of Italy,male,1824
Andrey Piontkovsky,"Soviet Union, Russia",male,1940
Noor Muhammad,Pakistan,male,1951
Daina Taimina,"Soviet Union, Latvia, United States of America",female,1954
Martin Huxley,United Kingdom,male,1944
John R. Hendricks,,male,1929
Rudranath Capildeo,Trinidad and Tobago,male,1920
Edmé-Gilles Guyot,France,male,1706
Wawrzyniec Żmurko,Poland,male,1824
Qāḍī Zāda al-Rūmī,Timurid Empire,male,1364
Dan Freed,United States of America,male,1959
Friedrich Heinrich Albert Wangerin,Germany,male,1844
Virahanka,,male,
Edwin Bidwell Wilson,United States of America,male,1879
R. H. Bruck,United States of America,male,1914
Francesco Ricci (mathematician),,male,
Francis John Welsh Whipple,,male,1876
George Kingsley Zipf,United States of America,male,1902
V. Kumar Murty,"Canada, India",male,1956
John Harnad,,male,
Luigi Amerio,Italy,male,1912
Karl Georg Christian von Staudt,Germany,male,1798
Ralf J. Spatzier,,male,
Theodoor Jacobus Boks,Kingdom of the Netherlands,male,1893
Thomas Myers,,male,1774
Léon Autonne,France,male,1859
John Corcoran (logician),United States of America,male,1937
Xu-Jia Wang,Australia,male,1963
Martyn Cundy,,male,1913
Bard Ermentrout,,male,
Adriaan Metius,Netherlands,male,1571
Harold Stark,United States of America,male,1939
Robert J. Weber,United States of America,male,1947
Jean Chazy,France,male,1882
Aksel Frederik Andersen,,male,1891
Takao Nishizeki,Japan,male,1947
Damiaen Joan van Doorninck,Kingdom of the Netherlands,male,1902
Camillo Agrippa,,male,1500
Martin Hellman,United States of America,male,1945
Winnie Li,"United States of America, Taiwan",female,1948
Grace Marie Bareis,,female,1875
Cyparissos Stephanos,Greece,male,1857
Carlos Simpson,United States of America,male,1962
Olivier Pironneau,France,male,1945
Adam Adamandy Kochański,Poland,male,1631
François Bruhat,France,male,1929
Georgios Remoundos,Greece,male,1878
Wilhelm Magnus,Germany,male,1907
Mikhail Vaschenko-Zakharchenko,Russian Empire,male,1825
Antônio Carbonari Netto,Brazil,male,
Luc Anselin,,male,1953
Alfred van der Poorten,Australia,male,1942
Mary Somerville,United Kingdom,female,1780
Jackie Stedall,United Kingdom,female,1950
Chaudry Mohammad Aslam,India,male,1900
Philip Jourdain,United Kingdom of Great Britain and Ireland,male,1879
Conway Berners-Lee,United Kingdom,male,1921
Paolo Marcellini,Italy,male,1947
Alfred Cardew Dixon,,male,1865
Jean Giraud (mathematician),France,male,1936
Arthur Stanley Mackenzie,Canada,male,1865
Robert Ammann,United States of America,male,1946
Claire Voisin,France,female,1962
Kiyoshi Oka,Japan,male,1901
Udai Bhan Tewari,,male,1944
Ali Ülger,Turkey,male,
Bartolomeo Pollastri,,male,
Richard M. Dudley,United States of America,male,1938
Nancy Kopell,United States of America,female,1942
Charles Fox (mathematician),Canada,male,1897
Ida Barney,United States of America,female,1886
Michel Balinski,United States of America,male,1933
Murray Rosenblatt,United States of America,male,1926
Manfred Wagner,Germany,male,1948
Steven Neil Evans,Australia,male,1960
Maurice René Fréchet,France,male,1878
Bálint Virág,Hungary,male,1973
Jean-Louis Nicolas,,male,
Johan van Benthem (logician),Kingdom of the Netherlands,male,1949
Alan Weiss (mathematician),United States of America,male,1955
Gábor Halász,Hungary,male,1941
Theodosius of Bithynia,,male,-160
William McFadden Orr,,male,1866
Alexander van Oudenaarden,Kingdom of the Netherlands,male,1970
Edgar Odell Lovett,United States of America,male,1871
Cadambathur Tiruvenkatacharlu Rajagopal,India,male,1903
Harold S. Shapiro,"United States of America, Sweden",male,1928
Tosun Terzioğlu,Turkey,male,1942
Paco Lagerstrom,"United States of America, Sweden",male,1914
Robert Hermann (mathematician),United States of America,male,1931
Carl Pomerance,United States of America,male,1944
Paolo Frisi,,male,1728
Jenő Hunyady,,male,1838
John Bryce McLeod,United Kingdom,male,1929
H. J. Woodall,,male,
Rajendra Bhatia,India,male,1952
Palash Kumar,India,male,
Pedro de Medina,Spain,male,1493
Richard Leibler,United States of America,male,1914
Gene V. Glass,United States of America,male,1940
Christine Darden,United States of America,female,1942
Hiroshi Okamura,Japan,male,1905
August Leopold Crelle,Germany,male,1780
Joseph Keller,United States of America,male,1923
Roland Glowinski,France,male,1937
Karl Schröter,Germany,male,1905
Rhonda Hughes,,female,1947
Zoia Ceaușescu,Romania,female,1949
Anthony Hilton,United Kingdom,male,1941
Richard Lyons (mathematician),United States of America,male,1945
Karol Borsuk,Poland,male,1905
Michel Talagrand,France,male,1952
Paul Cohn,United Kingdom,male,1924
Cuthbert Daniel,United States of America,male,1904
Sporus of Nicaea,,male,240
John M. Sullivan (mathematician),United States of America,male,1963
Peter Swinnerton-Dyer,United Kingdom,male,1927
Darrell Huff,United States of America,male,1913
Archibald Henderson (professor),United States of America,male,1877
William J. LeVeque,United States of America,male,1923
Karl Mahlburg,United States of America,male,
Ratnasingham Shivaji,,male,
June Huh,,,
Norman Steenrod,United States of America,male,1910
Todd Arbogast,United States of America,male,
Thomas Carlyle,British Empire,male,1795
Vicumpriya Perera,,male,
Orazio Tedone,Kingdom of Italy,male,1870
Dusa McDuff,United Kingdom,female,1945
Tian Ye (mathematician),"""Peoples Republic of China""",male,1971
James R. Newman,United States of America,male,1907
W. T. Tutte,United Kingdom,male,1917
John Griffiths (mathematician),,male,
Bart Kosko,United States of America,male,1960
Roger Paman,,male,
Michael Fourman,,male,1950
Hà Huy Khoái,Vietnam,male,1946
Seki Takakazu,Japan,male,1642
Richard Borcherds,United Kingdom,male,1959
Stefan Nemirovski,Russia,male,1973
George Grätzer,Canada,male,1936
Suzan Kahramaner,Turkey,female,1913
Perseus (geometer),,male,-150
Robert E. Bixby,United States of America,male,1945
Boris Khesin,Russia,male,1964
Jerzy Słupecki,,male,1904
Janusz Grabowski,,male,1955
Adolf Lindenbaum,Poland,male,1904
Subrahmanyan Chandrasekhar,United States of America,male,1910
Thomas Bartholin,Denmark,male,1616
Enrico Arbarello,Italy,male,1945
Richard White (mathematician),,male,1607
John R. Terry,,male,
John William Nicholson,,male,1881
Adalbold II of Utrecht,,male,900
Charles Ernest Weatherburn,"New Zealand, Australia",male,1884
Robert Steinberg,United States of America,male,1922
Nicola Fusco,Italy,male,1956
Steven E. Shreve,United States of America,male,
Michael Röckner,Germany,male,1956
Sergey Degayev,"United States of America, 1891, Russian Empire",male,1857
Philbert Maurice dOcagne,France,male,1862
Helen Almira Shafer,United States of America,female,1839
George Gargrave,,male,1710
Hans Wussing,Germany,male,1927
Paola Sebastiani,,female,
Mikhail Yakovlevich Suslin,Russian Empire,male,1894
John Allen Paulos,United States of America,male,1945
Steve Awodey,United States of America,male,1959
Ravindran Kannan,India,male,1953
Christoph Scriba,Germany,male,1929
Jabir ibn Aflah,Al-Ándalus,male,1100
Noriko Yui,,female,
Hans-Volker Niemeier,Germany,male,1940
Martin Sekulić,Croatia,male,1833
Daniel Hershkowitz,Israel,male,1953
Carl D. Olds,United States of America,male,1912
Juan José Nieto Roig,,male,1958
Uriel Rothblum,,male,1947
Vitali Milman,Soviet Union,male,1939
William Fleetwood,,male,1656
Dorothy Maud Wrinch,United Kingdom,female,1894
Andrey Nikolayevich Tikhonov,"Russian Empire, Soviet Union, Russia",male,1906
"Joseph Lawson Hodges, Jr.",United States of America,male,1922
Kikuo Takano,Japan,male,1927
Edward Ng,United States of America,male,1939
Maksym Radziwill,,male,
K. C. Nag,India,male,1893
Tim Cochran,United States of America,male,1955
Clifford Truesdell,United States of America,male,1919
Hellmuth Kneser,Germany,male,1898
Chuu-Lian Terng,United States of America,female,1949
William Lax,,male,1761
Markus Rost,Germany,male,1958
Paul T. Bateman,United States of America,male,1919
Edmund Hlawka,Austria,male,1916
Truman Henry Safford,United States of America,male,1836
Tobias Colding,Denmark,male,1900
Edward Charles Titchmarsh,United Kingdom,male,1899
Richard Burt Melrose,Australia,male,1949
Ralph Palmer Agnew,United States of America,male,1900
Vasily Sergeevich Nemchinov,Soviet Union,male,1894
Gerald B. Whitham,"United States of America, United Kingdom",male,1927
Felix Leinen,Germany,male,1957
Elmo Roper,,male,1900
Yinyu Ye,United States of America,male,1948
Charlotte Froese Fischer,"United States of America, Canada",female,1929
Wilhelmus Luxemburg,United States of America,male,1929
Barbara Niethammer,Germany,female,1967
Peter Scholze,Germany,male,1987
Manuel Sadosky,Argentina,male,1914
Dominic Welsh,United Kingdom,male,1938
Marc Voorhoeve,Kingdom of the Netherlands,male,1950
Dennis Lindley,United Kingdom,male,1923
Donald C. Spencer,United States of America,male,1912
Pythagoras,,"male, Virtual International Authority File, Italian Wikipedia",-586
Bartholomew Price,,male,1818
Raúl Chávez Sarmiento,Peru,male,1997
Sulochana Gadgil,India,female,1944
Albert Hibbs,United States of America,male,1924
Zeno of Sidon,,male,-150
Alessandro Padoa,Kingdom of Italy,male,1868
Gerhard Ringel,United States of America,male,1919
Albert Crumeyrolle,France,male,1919
Austin Bradford Hill,United Kingdom,male,1897
S. L. Hakimi,United States of America,male,
"Georges-Louis Leclerc, Comte de Buffon",France,male,1707
Alice Rogers,United Kingdom,female,
Alex Barnett (mathematician),,male,1972
Edward C. Waymire,United States of America,male,
Abdias Treu,Germany,male,1597
Elizabeth Williams (educationist),,female,1895
Georg Helm,Germany,male,1851
Benjamin Abram Bernstein,,male,1881
Meyer Bockstein,,male,1913
Benjamin Finkel,United States of America,male,1865
Jie-zhong Zou,,male,1947
George Walker (mathematician),,male,1734
Franklin P. Peterson,United States of America,male,1930
Jacopo Riccati,,male,1676
Robert W. Brooks,United States of America,male,1952
Donal OShea,Canada,male,1952
Judith D. Sally,United States of America,female,1937
Joannes Sturmius Mechlinianus,,male,1559
Floris Takens,"Kingdom of the Netherlands, Brazil",male,1940
Jack G. Hills,United States of America,male,
John C. Butcher,New Zealand,male,1933
Alfred Aeppli,Switzerland,male,1894
Leonhard Sohncke,Germany,male,1842
Elliott Waters Montroll,United States of America,male,1916
Harry Coonce,United States of America,male,1939
Arthur Cayley,United Kingdom,male,1821
Otto E. Neugebauer,"Austria, United States of America",male,1899
Stefan Burr,United States of America,male,1940
Wadim Zudilin,,male,
Miriam Cohen,,female,
Richard Baldus,Germany,male,1885
Hu Hesheng,China,female,1928
Leon Takhtajan,Russia,male,1950
Eva Bayer-Fluckiger,Switzerland,female,1951
Nazim Terzioglu,Turkey,male,1912
Alexander Crum Brown,United Kingdom,male,1838
Akio Hattori,,male,1929
Tan Lei,"""Peoples Republic of China""",female,1963
J. Alan George,,male,1943
Sigmund Selberg,Norway,male,1910
Joseph Oscar Irwin,,male,1898
Hilda Lyon,,female,1896
Georg Alexander Pick,Austria,male,1859
Paul Scriptoris,Germany,male,1462
Joaquim Gomes de Souza,Brazil,male,1829
Jacques Ozanam,France,male,1640
Heinz Bauer,Germany,male,1928
Shmuel Gal,,male,
James Mercer (mathematician),United Kingdom,male,1883
Jonathan Wahl,,male,
Georg Kreisel,"United Kingdom, United States of America",male,1923
Jouko Väänänen,Finland,male,1950
William Oughtred,United Kingdom,male,1574
Per Martin-Löf,Sweden,male,1942
Karl Weierstrass,"German Confederation, German Empire",male,1815
Robert Leslie Ellis,,male,1817
Wang Xianghao,,male,1915
Karin Reich,Germany,female,1941
Venkatesan Guruswami,India,male,1976
Suzanne Lenhart,United States of America,female,1954
George B. Thomas,United States of America,male,1914
John Williamson (mathematician),United Kingdom,male,1901
Thomas Rodborne,,male,
Max Kelly,Australia,male,1930
Richard Schroeppel,United States of America,male,1948
Masamichi Takesaki,Japan,male,1933
David Khorol,Soviet Union,male,1920
Benedict Zuckermann,Germany,male,1818
Michael Shelley (mathematician),United States of America,male,1959
Robert Fludd,Kingdom of England,male,1574
Edouard Zeckendorf,Belgium,male,1901
Jonathan Partington,United Kingdom,male,1955
Michel Reiss,,male,1805
Helen G. Grundman,United States of America,female,
Johannes de Groot,Kingdom of the Netherlands,male,1914
Joaquín Bustoz Jr.,United States of America,male,1939
Adam Spencer,Australia,male,1969
Marvin Knopp,United States of America,male,1933
Lida Barrett,United States of America,female,1927
Chung Tao Yang,"China, United States of America",male,1923
Yasumasa Kanada,Japan,male,1948
Daniel Bleichenbacher,Switzerland,male,1964
Jeffrey Lagarias,United States of America,male,1949
Jane Piore Gilman,United States of America,female,
Henry Tanner (mathematician),,male,1851
Kenneth A. Ross,United States of America,male,1936
Arthur Schuster,"Germany, United Kingdom",male,1851
Jean-François Mertens,Belgium,male,1946
Moshe Katsav,Israel,male,1945
Bernard Galler,United States of America,male,1928
Mkhitar Djrbashian,"Armenia, Soviet Union",male,1918
Hugh Everett III,United States of America,male,1930
William Shaw (mathematician),United Kingdom,male,1958
John Trevor Stuart,United Kingdom,male,1929
Edward Belbruno,United States of America,male,1951
Jon T. Pitts,,male,
Brooke Shipley,United States of America,female,
Andrei Zelevinsky,"Soviet Union, United States of America",male,1953
Charles Colbourn,Canada,male,1953
N. S. Rajaram,India,male,1943
Ernest William Brown,United Kingdom,male,1866
John Playfair,United Kingdom,male,1748
Thomas Allen (mathematician),Kingdom of England,male,1542
Simon Donaldson,United Kingdom,male,1957
Neil OConnell,,male,
Al-Samawal al-Maghribi,Abbasid Caliphate,male,1130
John Hiram Lathrop,United States of America,male,1799
Tommy Bonnesen,Denmark,male,1873
Horace Webster,United States of America,male,1794
Daniel Kubert,United States of America,male,1947
Billy James Pettis,United States of America,male,1913
Margaret K. Butler,United States of America,female,1924
Jafar Zafarani,Iran,male,1947
Peter Landweber,United States of America,male,1940
Richard Crandall,United States of America,male,1947
Herbert Arthur Frederick Turner,United Kingdom,male,1919
Georg Joseph Sidler,Switzerland,male,1831
Ivars Peterson,Canada,male,1948
Johannes Kepler,Holy Roman Empire,male,1571
Michèle Audin,France,female,1954
Herbert Spohn,Germany,male,1946
Trachette Jackson,,female,1972
Ann S. Almgren,United States of America,female,
Grigorii Fichtenholz,"Russian Empire, Soviet Union",male,1888
Tirukkannapuram Vijayaraghavan,,male,1902
Tomaž Pisanski,Slovenia,male,1949
Michael Shulman (mathematician),,male,1980
Arif Salimov,Turkey,male,1956
Leonid Levin,"United States of America, Soviet Union",male,1948
Douglas Hartree,United Kingdom,male,1897
Vijayanandi,India,male,
Ted Kaczynski,United States of America,male,1942
George William Hill,United States of America,male,1838
Nicolai V. Krylov,Russia,male,1941
E. Brian Davies,United Kingdom,male,1944
Walter Rudin,United States of America,male,1921
Boris Shapiro (mathematician),,male,
Lars-Erik Persson,Sweden,male,1944
Martin Dunwoody,,male,1938
Minhyong Kim,,male,1963
Andrew John Pullan,New Zealand,male,1963
Derek Taunt,,male,1917
Roman Bezrukavnikov,United States of America,male,
Bruce Kleiner,United States of America,male,1900
Marie Litzinger,,female,1899
Olof Thorin,,male,1912
Bhama Srinivasan,"United States of America, India",female,1935
W. Hugh Woodin,United States of America,male,1955
Luis Santaló,"Spain, Argentina",male,1911
Florence Rivault,France,male,1571
Lin Fanghua,United States of America,male,1959
Naim ibn Musa,,male,
Timothy Augustine Coghlan,Australia,male,1856
Dan Abramovich,Israel,male,1900
John Fitch (computer scientist),United Kingdom,male,1945
Kenji Fukaya,Japan,male,1959
Joseph Winlock,United States of America,male,1826
George Frederick James Temple,United Kingdom,male,1901
William Marrat,,male,1772
Azriel Lévy,Israel,male,1934
Shaun Wylie,United Kingdom,male,1913
Seymour Geisser,United States of America,male,1929
Craig L. Russell,United States of America,male,1949
Michael S. Longuet-Higgins,United Kingdom,male,1925
Greg Kuperberg,"United States of America, Poland",male,1967
Nathan Mendelsohn,Canada,male,1917
Vittorio Grünwald,,male,1855
Robert Forsyth Scott,,male,1849
Stefan Grigorievich Samko,,male,1941
Jianhong Wu,,male,
Pierre Rosenstiehl,France,male,1933
John Raymond Wilton,,male,1884
Robert Smith (mathematician),United Kingdom,male,1689
Micaiah John Muller Hill,,male,1856
Robert William Genese,,male,1848
Harry Lindgren,Australia,male,1912
Imre Z. Ruzsa,Hungary,male,1953
Al-Nayrizi,Iran,male,865
Irene M. Gamba,"United States of America, Argentina",female,1957
Rudolf E. Kálmán,United States of America,male,1930
Ernst Christian Julius Schering,Germany,male,1824
Hiroshi Saito (mathematician),,male,
Giacomo Albanese,"Italy, Brazil",male,1890
Richard E. Bellman,United States of America,male,1920
Mark Pollicott,United Kingdom,male,1959
Jakob Nielsen (mathematician),Denmark,male,1890
Gregorio Ricci-Curbastro,Kingdom of Italy,male,1853
Mikhail Postnikov,"Soviet Union, Russia",male,1927
David Gauld (mathematician),,male,
Alessandro Marchetti (mathematician),,male,1633
Keith Devlin,"United Kingdom, United States of America",male,1947
David Makinson,Australia,male,1941
John Crank,United Kingdom,male,1916
Lynn Harold Loomis,United States of America,male,1915
Koide Chōjūrō,Japan,male,1797
Wilfred Kaplan,United States of America,male,1915
Simion Stoilow,Romania,male,1887
Kirstine Smith,,female,1878
James J. Stoker,United States of America,male,1905
Joseph A. Thas,Belgium,male,1900
Ralph Faudree,United States of America,male,1939
Rudolf Fueter,Switzerland,male,1880
Hipparchus,,male,-190
Hermann Bottenbruch,Germany,male,1928
Tomasz Mrowka,United States of America,male,1961
Victor Pavlovich Maslov,"Soviet Union, Russia",male,1930
Julius August Christoph Zech,,male,1821
Witold Milewski (mathematician),,male,1817
Story Musgrave,United States of America,male,1935
Jianqing Fan,,male,1962
Narsingh Deo,India,male,
Johann Friedrich Hennert,Germany,male,1733
Alex Grossman,France,male,1930
Celia Grillo Borromeo,,female,1684
Eduard Jan Dijksterhuis,Kingdom of the Netherlands,male,1892
Igor Shafarevich,"Soviet Union, Russia",male,1923
Paulo Pinheiro,Brazil,male,
John Edmund Kerrich,,male,1908
Solomon Gandz,Poland,male,1883
"Sir Frederick Eden, 2nd Baronet",United Kingdom,male,1766
Martin Aigner,Austria,male,1942
Gui-Qiang Chen,United States of America,male,1963
Vincent Lafforgue,France,male,1974
Edward Brooks (educator),,male,1831
Alberto Pappiani,,male,1709
David Singmaster,United States of America,male,1939
Arnaldo Garcia,,male,1950
Francis Dominic Murnaghan (mathematician),United States of America,male,1893
Max Simon (mathematician),Germany,male,1844
Henri Skoda,France,male,1945
Radha Laha,India,male,1930
Rudolf Wille,Germany,male,1937
Abe Sklar,United States of America,male,
László Filep,Hungary,male,1941
B. R. Bhat,India,male,
Richard P. Stanley,United States of America,male,1944
Hal Abelson,United States of America,male,1947
Gaetano Fichera,Italy,male,1922
Willard Van Orman Quine,United States of America,male,1908
Kazuhiko Aomoto,,male,
Takuro Shintani,,male,1943
William Emerson (mathematician),,male,1701
Wallace Givens,United States of America,male,1910
Ieke Moerdijk,Kingdom of the Netherlands,male,1958
Shigeo Sasaki,Japan,male,1912
Jaroslav Nešetřil,Czech Republic,male,1946
David Lowery (musician),United States of America,male,1960
Eckhard Meinrenken,"Canada, Germany",male,1900
Thomas William Körner,United Kingdom,male,1946
Philibert Babou,France,male,
Gustav de Vries,Kingdom of the Netherlands,male,1866
Khairulla Murtazin,Soviet Union,male,1941
Igor Shelushkov,,male,
Goro Azumaya,Japan,male,1920
Nicolas-François Canard,France,male,1754
Matthias Aschenbrenner,United States of America,male,1972
Wolfgang Rautenberg,Germany,male,1936
Feza Gürsey,Turkey,male,1921
Pavel Urysohn,Russia,male,1898
Erich Hecke,Germany,male,1887
Étienne Laspeyres,Germany,male,1834
Michael Christopher Wendl,,male,
Plato Tiburtinus,,male,1110
Edmond Laguerre,France,male,1834
Charles Julien Brianchon,France,male,1783
Imre Simon,Brazil,male,1943
Leon (mathematician),,male,
Maria Assumpció Català i Poch,Spain,female,1925
Pierre Petit (engineer),France,male,1597
Henry Dudeney,United Kingdom,male,1857
Konrad Jörgens,Germany,male,1926
Neil Garrod,,male,
Giovanni Battista Zupi,,male,1590
Jan Mikołaj Smogulecki,Poland,male,1610
Isaak Yaglom,Soviet Union,male,1921
Michael F. Shlesinger,United States of America,male,1948
Hermann Schubert,Germany,male,1848
James G. Oldroyd,,male,1921
Georg Feigl,Germany,male,1890
Jason Behrstock,,male,
Elżbieta Pleszczyńska,,female,1933
Joseph Caldwell,United States of America,male,1773
Larry Wos,United States of America,male,1930
Donald McIntosh (mathematician),,male,1868
Jakša Cvitanić,United States of America,male,1962
Robert Wood (mathematician),,male,1622
Karel Zahradnik,,male,1848
Svetlana Jitomirskaya,"United States of America, Russia",female,1966
Marie-Louise Michelsohn,United States of America,female,1941
Shreeram Shankar Abhyankar,United States of America,male,1930
Linda J. S. Allen,United States of America,female,1900
Penelope Maddy,United States of America,female,1950
Leopoldo Penna Franca,Brazil,male,1959
Luigi Ambrosio,Italy,male,1963
Anne Sjerp Troelstra,Kingdom of the Netherlands,male,1939
Carsten Thomassen,Denmark,male,1948
Ralph Kenna,,male,
Iris Runge,Germany,female,1888
Yao Nai,China,male,1731
Dorothy Vaughan,United States of America,female,1910
Wilhelm Leber,Germany,male,1947
Ken Ribet,United States of America,male,1948
Gustave Juvet,,male,
Irwin Kra,United States of America,male,1937
Baldassarre Boncompagni,Kingdom of Italy,male,1821
Evgenii Nikishin,Soviet Union,male,1945
Gérald Tenenbaum,France,male,1952
Frédéric Hélein,France,male,1963
Gerald L. Thompson,United States of America,male,1923
John Dwyer (mathematician),,male,
Ibrahim ibn Sinan,Iraq,male,908
Petru Soltan,"Moldova, Soviet Union",male,1931
C. B. Collins,,male,
Richard Lewontin,United States of America,male,1929
Dorothy Walcott Weeks,United States of America,female,1893
Pietro Catena,,male,1501
Nicolas Fuss,"Switzerland, Russian Empire",male,1755
Richard Swineshead,United Kingdom,male,1300
Martin Vingron,Austria,male,1961
Abraham Seidenberg,United States of America,male,1916
Walter Whiteley,,male,
Dikran Tahta,United Kingdom,male,1928
Glen Van Brummelen,Canada,male,1965
Jean Favard,France,male,1902
Charles Thomas Whitmell,,male,1849
Errett Bishop,United States of America,male,1928
Karl Apfelbacher,Germany,male,
Santiago López de Medrano,,male,1942
Bernard Roy,France,male,1934
Johannes Boersma,Kingdom of the Netherlands,male,1937
Ovidiu Savin,Romania,male,1977
R. G. D. Allen,United Kingdom,male,1906
Jessie Marie Jacobs,,female,1890
Nathan Altshiller Court,United States of America,male,1881
Toby Gärnö Heikenen,,male,1806
James A. Clarkson,United States of America,male,1906
Yāska,India,male,400
William Mitchinson Hicks,United Kingdom,male,1850
Richard Balam,,male,
Prabodh Chandra Sengupta,India,male,1876
Bharath Sriraman,India,male,1971
Leonard Roth,,male,1904
Abū al-Ḥasan ibn ʿAlī al-Qalaṣādī,Al-Ándalus,male,1412
Max August Zorn,"Germany, United States of America",male,1906
Jules Richard,France,male,1862
Raffaello Magiotti,,male,1597
Johann Radon,Austria,male,1887
Herbert William Richmond,United Kingdom,male,1863
Maxwell Rosenlicht,United States of America,male,1924
Idun Reiten,Norway,female,1942
Irving S. Reed,United States of America,male,1923
David Mumford,United States of America,male,1937
George Mackey,United States of America,male,1916
Adam Olearius,"Bishopric of Halberstadt, Duchy of Schleswig",male,1603
Felix Browder,United States of America,male,1927
Adolf Schepp,,male,1837
Vladimir Markov (mathematician),,male,1871
Max Newman,United Kingdom,male,1897
Peter Boyle (epidemiologist),United Kingdom,male,1951
Philip Rabinowitz (mathematician),United States of America,male,1926
Ernst August Weiß,,male,1900
Tasawar Hayat,,male,1969
Samuel Hawksley Burbury,,male,1831
Antiphon (orator),Classical Athens,male,-480
Bradley Alpert,United States of America,male,
Constantin Le Paige,Belgium,male,1852
Kazimierz Zarankiewicz,Poland,male,1902
Hyman Bass,United States of America,male,1932
Olivier Debarre,France,male,1959
Albert Shiryaev,Russia,male,1934
Wilhelm von Freeden,Germany,male,1822
Antonio Schinella Conti,,male,1677
Christel Rotthaus,,female,
Wilhelm Ahrens (mathematician),Germany,male,1872
Patrice Ossona de Mendez,France,male,1966
Charles Earl Rickart,United States of America,male,1913
Hartley Rogers Jr.,United States of America,male,1926
Gary Flandro,United States of America,male,1934
Ubiratàn DAmbrosio,Brazil,male,1932
Grace Hopper,United States of America,female,1906
Samuil Shatunovsky,"Russian Empire, Soviet Union",male,1859
Jules Hoüel,France,male,1823
Paul I. Richards,,male,1923
Karl Longin Zeller,Germany,male,1924
Charles Fefferman,United States of America,male,1949
John West (mathematician),United Kingdom,male,1756
Gular Ahmadova,,female,1965
